model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,mcc,roc_auc_ovr_macro,pr_auc_ovr_macro,latency_ms_per_sample,throughput_samples_per_sec,model_size_mb
classical,0.49933333333333335,0.4344181459566075,0.4993333333333333,0.46201814058956914,0.43441814595660755,0.49933333333333335,0.46201814058956914,0.3359311399922456,0.5707111111111111,0.5322364904421149,0.3150164666682637,3174.4372304609587,2.2480945587158203
statistical,0.868,0.8726109103574383,0.868,0.8671839336629306,0.8726109103574383,0.868,0.8671839336629307,0.8263100417936988,0.9655413333333334,0.8898421012041804,0.2625149999997423,3809.3061348912693,0.39828968048095703
transformer,0.5393333333333333,0.7507695965857757,0.5393333333333333,0.47166701233991903,0.7507695965857756,0.5393333333333333,0.4716670123399189,0.4803282152023288,0.8651122962962963,0.6727977800414351,34.05245773333202,29.36645594955564,
